personLabel,personDescription
Eugenia Kumacheva,Professor of Chemistry at the University of Toronto
Guadalupe Ortiz de Landázuri,"Spanish chemist, edicator"
Nina Kámneva,Soviet athlete and military engineer
Vilena  Martirosyan,chemist
Jeri Ellsworth,American entrepreneur and self-taught computer chip designer
Missy Cummings,American space systems engineer and Navy pilot
Nancy J. Currie,"American engineer, United States Army officer, and astronaut"
Farzana Aslam,"Pakistani astronomer, physicist, and academic"
Ruth Florence Allen,American botanist and plant pathologist (1879-1963)
Megan Jill Russell,biomedical engineer who designed an artificial larynx
Hilda Vilhelmine Roos,Estonian mathematician
Lucy Joan Slater,British mathematician (1922-2008)
Lydia Pasternak Slater,"Russian chemist, poet and translator"
Irina Ilyinskaya,botanist (1921-2011)
Blanca León,Peruvian botanist
Färidä Tantaşeva,russische Chemikerin
Hiie Hinrikus,Estonian physicist
Christine Tullis Hunter Davies,"Professor of Physics, University of Glasgow"
I. Zschokke,Swiss physicist
Zsuzsa Szabó-Selényi,Romanian physicist
Helen Grimshaw,aeronautical engineer and pioneering G-force-pressure suit designer
Christiane Ziegler,researcher ORCID ID = 0000-0002-7963-3729
Marta Bunge,Matemática argentina
Diane Kelly (computer scientist),American computer scientist
Marcella Hazan,Italian-born American cookbook author
Marie-Laure Ryan,"Literary scholar, academic, critic"
Marie Goldsmith,Russian anarchist and biologist
Véronique Fischer,French mathematician
"Marion Barbara ""Joe"" Carstairs",British motorboat racer
Marjorie Williamson,"British academic, educator, physicist and university administrator."
Nancy Lee Harris,American pathologist
Lynn Gladden,British chemical engineer
Clare de Brereton Evans,British chemist
Noémie Koechlin,French biologist
Rachel Justine Pries,American mathematician
Jeanne Gaillard,phycologist
Nicole Galland,French botanist
Mary Ellinor Lucy Archer,Australian librarian and botanist (1893-1979)
Lucy Mensing,German physicist
Constance Tipper,British metallurgist and crystallographer
Judith Resnik,American engineer and a NASA astronaut who died in the Space Shuttle Challenger diaster
Marina Popovich,"Soviet pilot, writer and ufologist"
Margaret Faul,chemist
Christine Riedtmann,Swiss mathematician
Asimina Arvanitaki,Greek physicist
Estela Raquel Giménez,Argentine M.D. and toxicologist
Gloria Lovell,Médica y pediatra argentina
Laura Ann Willson,British engineer and suffragette
Mary Noble,seed pathologist
Roseli Ocampo-Friedmann,Filipino-American microbiologist and botanist (1937-2005)
Janet Plowe,American biologist
Montserrat Garriga Cabrero,Cuban-Spanish botanist (1865-1956)
Alicia Abella,American engineer
María Jesús Carro Rossell,spanische Mathematikerin und Forscherin
Jingyu Lin,"physicist, expert in the field of light emitting diodes"
Alena Dernerová,Czech senator of Czech Parliament and doctor
Polly Mead Patraw,American botanist (1904-2001)
Masako Ogawa,Physician and author
Milada Emmerová,"Czech minister of health of the CR, member of Czech Parliament (1996–2013) and doctor"
Florence Peebles,American biologist
Edda Sveinsdottir,Icelandic/Danish computer scientist
Rita R. Colwell,American microbiologist
Helen Lee,French-British researcher
Ruth R. Wexler,American chemist
Mónica Zetzsche,Argentine engineer
Lilly Gabriela Montaño Viaña,Bolivian politician
King Kuok Hii,British chemist
Evanka Osmak,American sportsanchor
Princess Charlotte of Saxe-Meiningen,Duchess consort of Saxe-Gotha-Altenburg and Princess of Saxe-Meiningen
Janina Rogozińska,Polish botanist (1925-2007)
Magdalena Durlik,Polish nephrologist and transplantologist
Maria Dmochowska,"Polish politician, doctor and public servant"
Peregrina Quintela Estévez,Spanish mathematician
Élisabeth Charlaix,French physicist
Pierrette Lévi,French invertebrate zoologist
Margarita Delgado de Solís Quiroga,Mexican doctor
Joan B. Broderick,professor of chemistry and biochemistry at Montana State University
Ou Xiaobai,Chinese mobile app designer
Yayo Herrero,"Spanish anthropologist, engineer, professor and ecofeminist activist"
Kay Mehren,veterinarian
Miriam Dell,New Zealand activist
Veronika Ádám,Hungarian biochemist
Mary Esther Trueblood,American mathematician
Maria Overbeck-Larisch,German mathematician
Marie Buckwitz,österreichische Chemikerin und Sprachpädagogin
Elizabeth Brainerd,American biologist
Annie Selden,American mathematics educator
Gayle Laakmann McDowell,"Founder, consultant, coder, author and speaker"
Betty Kirby-Green,British adventurer and pilot
Yonina Eldar,Israeli  academic and engineer
Éliane Gluckman,researcher
Catherine Heymans,British astrophysicist
Britta Hegethorn,schwedische Psychiaterin
Karin Öberg,Swedish astrochemist
Lucy Ella Moten,educator (1851-1933)
Eeva Kuuskoski,Finnish politician and physician
Zaida Eriksson-Lihr,Finnish physician (1895-1974)
Cynthia Gustava,American astronomer
Virginia Dignum,computer scientist and artificial intelligence researcher
Alexandra Kluge,German actress and physician
Annie Francé-Harrar,Austrian biologist and writer
Ursula van Rienen,German electrical engineer
Regina Leal,Spanish politician and physician
Martha Kyrle,Austrian physicist (1917-2017)
Teri Manolio,"physician, epidemiologist, and geneticist"
Anas Barakat el Baz,Lebanese Doctor
Tamara Sargsyan,"Armenian genetic. Doctor of Biological Sciences, Professor"
Harriet L. Keeler,"American teacher, botanist, and author  (1846—1921)"
María Elena Galiano,Argentine arachnologist (1928-2000)
Chiara Castellani,Italian physician
Janet Luhmann,American physicist and researcher
Nadine Provençal,researcher ORCID ID = 0000-0002-2079-8393
Soodabeh Davaran,Iranian physician
Veronika Thurner,Hochschullehrerin
Liliane Léger,French physicist
Maria Białobrzeska,Polish botanist (1921–2004)
Jenny Y Yang,American chemist
Elham Kashefi,computer scientist and quantum computing researcher
Borghild Krane,norwegische Psychiaterin und Schriftstellerin
Rosana Rodríguez López,mathematician
Hideko Nojima,Japanese chemist
Clara von Simson,German politician (1897-1983)
Lucy Campbell,Applied mathematician and numerical analyst
Angela R. Hight Walker,American physicist
Renee Lim,Australian actress
Heather Patrick,American physicist
Misako Takayasu,Japanese physicist
Haiyan Zhang,Designer and engineer
Caroline Farner,Swiss doctor and activist (1842-1913)
Marcia Huber,American chemical engineer
Francisca Nneka Okeke,Nigerian physicist
Mary Bowerman,American botanist (1908-2005)
Mary Strong Clemens,American botanist (1873-1968)
Irene  Würdinger,German biologist and university teacher
Katherine Steele,researcher ORCID ID = 0000-0002-4128-9387
Patricia Marjorie Ralph,New Zealand marine biologist and university lecturer
Beverly Anderson,American mathematician and academic
Ayyalasomayajula Lalitha,Indian electrical engineer
Jill Pipher,American mathematician
Tso Wong Man-yin,Hong Kong chemist
Alessandra Lunardi,Italian mathematician
Iryna Adamenko,Ukrainian female scientist
Sarah Frances Whiting,American physicist and astronomer
Anna Consortini,Physicist
Urszula Marciniak,Polish mathematician
Jadwiga Stankowska,Polish physicist
Jennifer A. Tate,botanist
Kathleen Kelly,American biologist
Meryem Beklioğlu,türkische Biologin und Hochschullehrerin
Aleksandra Gorgidze,Georgian biologist
Erzsébet Kol,Hungarian phycologist (1897-1980)
Margery Blackie,British homeopath
Gerda de Vries,Canadian mathematician
María Luisa Aguilar,Peruvian astronomer
Maria Ales,Italian mathematician
Sonja Smets,Belgian and Dutch logician and epistemologist
Agnete Seidelin,Danish botanist (1874-1956)
Jeanne Burbank,American electrochemist
Julia Etulain,Argentine biologist
Bernadette Charleux,French chemist
Catherine Ozouf-Costaz,researcher
Martha Locke Hazen,astrónoma y curadora de fotografías estadounidense
Joanna Soszyńska-Budny,Polish mathematician
Susanne Boll,German professor
Sheri Graner Ray,American video game designer
Sethanne Howard,American astronomer
Gladys West,American mathematician known for her contributions to Global Positioning Systems
Véronique Cortier,French mathematician and computer scientist
Rosina Zornlin,British author
Silvia Blumenfeld,Argentine mycologist
Susan M. Gaines,American writer
Norah Lillian Penston,British botanist and academic administrator (1903-1974)
Crista Arangala,American mathematician
M. I. Pokrovskai͡a,editor
Nancy E. Messonnier,American medical epidemiologist at the CDC
Barbara J. Grosz,American computer scientist
Edith Humphrey,British chemist
Joanna Aizenberg,American chemist
Lori A. Clarke,American computer scientist
Margaret Martonosi,American computer scientist
Pauline Gracia Beery Mack,American chemist
Chantal Abergel,French biologist
Fanny Gates,American physicist
Silvia Lindtner,"researcher, University of Michigan"
Serena A. Corr,Irish chemist
Rose Whelan Sedgewick,American mathematician
Karine Beauchard,French mathematician
Maria Grazia Binda,Italian biologist
Yimtubezinash Woldeamanuel,Ethiopian physician and microbiologist
Genevieve K. Walden,botanist
Ruth Gregory,British physicist
Florence Yeldham,British mathematician
Gloria M. Coruzzi,American biologist
María Mercedes Maestre Martí,Spanish physician from Valencia
Helen Vanderplank,botanist (1919-2005)
Lamia Chafei Seghaier,Tunisian engineer and politician
Ellen Ahlqvist,Finnish doctor and author
Teresa Cohen,American mathematician
Blanche Edwards-Pilliet,French physician
Sheila Widnall,American aerospace researcher and educator
Christiane Stang-Voß,"deutsche Biologin, Hochschullehrerin"
Katherine C. Kelly,American activist
Nikita Kanani,General Practitioner; first woman to be Director of Primary Care in the NHS.
Marjan Seiedy,Iranian arachnologist
Rosetta Sherwood Hall,Canadian missionary
Susan Buchbinder,American physician
Olive Blanche Davies,Australian botanical artist (1884-1976)
Pascale Ehrenfreund,Austrian astronomer
Ruth Amos,British entrepreneur and inventor of the StairSteady
Zuzana Kečkéšová,slovak-American molecular biologist
Margaret Bell Douglas,Canadian botanist and horticulturalist (1880-1963)
Eeva Furman,Finnish biologist
Salma Ismail,Malaysian medical doctor
Sujatha Ramdorai,Indian mathematician
Patricia Bergquist,"New Zealand anatomist, biologist (1933-2009)"
Romualda Baudouin de Courtenay,كاتبة بولندية
Hilda Crosby Standish,American physician
Sandra Hutchins,American computer scientist
Eva J. Pell,American scientist
Margita Kresáková,Slovak astronomer
Nüzhet Gökdoğan,Turkish astronomer and mathematician
Xue-Min Cheng,medicinal chemist
Yu Morton,professor
Sandar Win,Burmese physician
Wendi Rabiner Heinzelman,American electrical engineer and computer scientist
Theresa Sparks,American activist
Roberta Vangelisti,"botánica, briología, taxonomía, profesorado"
Marija Dunja Piškur-Kosmač,Slovenian physician and politician
Meta Petrič,Slovenian botanist (1914–2007)
Marie Laura Violet Gayler,English metallurgist
Pauline Ramart,French politician
Jacquelin Smith Cooley,botanist (1883-1965)
Marilyn Gaston,American physician
Maria T. Zuber,American astronomer
Teresa W. Haynes,American mathematician
Edith Kann,Austrian botanist (1907-1987)
Frances Saunders,British scientist
Michelle Schatzman,French mathematician
Judith Tukahirwa,Ugandan environmental scientist
Jasmine K. Janes,researcher
Yūko Kakazu,Japanese astronomer
María Pazos,"spanische Mathematikerin, Forscherin und Aktivistin"
Grethe Birketvedt,Norwegian writer and physician
Helen F. Cullen,American mathematician specializing in topology
Janet Iwasa,molecular animator
Rosario Turner,Panamanian Physician and Politics
Yeter Göksu,türkische Physikerin
María Teresa Alarcón-Herrera,Mexican botanist
Kai-Mei Fu,American electrical engineer and physicist
Savitri Gunatilleke,Sri Lankan biologist
Ann Heinson,British-American physicist
Elêna Maria de Lamare Occhioni,botanist
Asuncion Raymundo,Filipino biogogist
Rosa Scolnik,Argentinean botanist (1906-1979)
Magda Peligrad,Romanian mathematician
Noémie Lamon,Swiss biologist
Jane M. Carlton,biologist
Sue Pedersen,Canadian obesity researcher
Sun Yafang,"Chinese engineer, chairwoman of Huawei"
Joan Higginbotham,American engineer and a former NASA astronaut
Henriette Saloz-Joudra,"Russian-born physician, private practitioner in Geneva"
Soňa Pennigerová,Czech politician and doctor
Graciela Calderón,Mexican botanist
Mitali Mukerji,Indian scientist
Franziska Scheffler,"German professor, chemist and Prorector"
Paola De Gobbi,Italian scientist and skeptic activist
Helen Sharman,British chemist who became the first Briton in space
Tanya Monro,Australian physicist
Ilsi Iob Boldrini,Brazilian botanist
Neusa Taroda Ranga,Brazilian botanist
Rosângela Capuano Tardivo,Brazilian botanist
Tatiana Ungaretti Paleo Konno,Brazilian botanist
Thereza Cristina Costa Lopes,Brazilian botanist
Silvia Torres-Peimbert,Mexican astronomer
Leslie Dewan,American entrepreneur
Martha Cecilia Bustamante,Colombian physicist and science historian
Angela Maria Studart da Fonseca Vaz,botanist
Khalida Gantseva,russische Wissenschaftlerin
Janet Stevens,American astronomer
Kristine Larsen,American astronomer
Mary Jane Saunders,American academic
Polina Bayvel,Professor of Optical Communications
Sereina Riniker,professor at the ETHZ
Sarah Featon,New Zealand botanical artist and author (1848-1927)
Madeleine Olsson Eriksson,طبيبة سويدية
Frances Elizabeth Deacon,English chemist and druggist
Corrie Moreau,American entomologist
Maria Luiza Porto,Brazilian botanist
Ala Nemerenco,Moldovan physician and politician
Géraldine Masson,French chemist
Susan B. Davidson,American computer scientist
Ruth Bowden,English anatomist
Clarisse Iribagiza,Rwandan CEO and co-founder of HeHe Limited
Danuta Drozdowska,researcher ORCID ID = 0000-0002-3479-0480
Anna Lubiw,Canadian computer scientist
Karin M. Hehenberger,physician
Sabina Nowak,Polish scientist
Marta García-Matos,"spanische Schriftstellerin, Physikerin und Wissenschaftskommunikatorin"
Irena Koprowska,Polish pathologist
Anna Kartsova,russische Chemikerin
Shiu-Ying Hu,Chinese botanist (1910-2012)
Helen Czerski,British physicist
Helga Rübsamen-Schaeff,deutsche Chemikerin und Managerin
Liudmyla Bielova,Ukrainian politician
Susan Barnes,Businesswoman
Mary K. Hawes,Computer scientist
Martha Bunting,American biologist and teacher (1861-1944)
California Odha Zertuche Díaz,Mexican civil engineer
Amy Jacot Guillarmod,South African botanist (1911-1992)
Taisiya Sergeevna Osintseva,Russian physician
Lucinda L. Combs,female American physician and medical missionary
Humayra Abedin,Bangladeshi physician
