personLabel,occupationLabel,institutionLabel
Adrienne Ruth Hardham,botanist,Monash University
Maria Teschler-Nicola,biologist,University of Vienna
Silvia C. Arroyo,botanist,National University of Córdoba
Marli Pires Morim,botanist,Federal University of Rio de Janeiro
Alexandra Elbakyan,programmer,University of Freiburg
Evelyne Heyer,biologist,Claude Bernard University Lyon 1
Blanche Edwards-Pilliet,physician,Faculté de médecine de Paris
Aleksandra Żurawska,physicist,Jan Długosz University
Edith Humphrey,chemist,Bedford College
Jacqueline Lecourtier,chemist,Pierre and Marie Curie University
Iwona Bojar,physician,Poznan University of Medical Sciences
Verena Huber-Dyson,mathematician,University of Zurich
Alexandria Boehm,engineer,"University of California, Irvine"
Susan Band Horwitz,chemist,Brandeis University
Tamar Schlick,mathematician,Courant Institute of Mathematical Sciences
Victoria Wells Wulsin,physician,Harvard T.H. Chan School of Public Health
Maureen Kimenye,physician,Moi University
Aziza Baccouche,physicist,University of Maryland
Anne McNeil,chemist,Cornell University
Betty Harris,chemist,Southern University
Bettye Washington Greene,engineer,Tuskegee University
Lauren Kim Roche,physician,University of Otago
Elaine Surick Oran,physicist,Bryn Mawr College
Almadena Chtchelkanova,computer scientist,Moscow State University
Heidi Shyu,engineer,University of Toronto
Alicia M. Soderberg,astronomer,California Institute of Technology
Martha Doan,chemist,Cornell University
Hessa Al Jaber,engineer,George Washington University
Catherine Falade,physician,University of Ibadan
Viviana Gibelli,physician,Central University of Venezuela
Letitia Fairfield,physician,George Watson's College
Soledad Penadés Ullate,chemist,Complutense University of Madrid
Janet Aitkin,physician,St Leonards School
Pilar Bayer i Isant,mathematician,University of Barcelona
Anne Trefethen,computer scientist,Royal Military College of Science
Lucie Kobrlová,botanist,Palacký University Olomouc
Helena Shovelton,physician,University of Strathclyde
Yōko Suzuki,physician,Osaka City University
Thaleia Zariphopoulou,mathematician,National Technical University of Athens
Yulia Gel,mathematician,University of Washington
Zofia Anna Starck,botanist,Warsaw University of Life Sciences
Sally Jewell,engineer,Renton High School
Laura J. van't Veer,biologist,Leiden University
Rejji Kuruvilla,biologist,Johns Hopkins School of Medicine
Jeannette South-Paul,physician,University of Pennsylvania
Anna Krylov,chemist,Hebrew University of Jerusalem
Zhang Yonglian,biologist,Fudan University
Rakhil' Freydlina,chemist,Faculty of Physics and Mathematics of Moscow Imperial University
Sumathi Rao,physicist,Stony Brook University
Aziza Baccouche,physicist,Hampton University
Jacqueline Barton,chemist,Barnard College
Fabienne Casoli,astronomer,École normale supérieure de jeunes filles
Magdalena Klimek-Ochab,engineer,Kopernik School in Krosno
Eugenia Malinnikova,mathematician,Saint Petersburg State University
Veronica Dahl,engineer,University of Buenos Aires
Daniela Calvetti,mathematician,University of North Carolina at Chapel Hill
Françoise Brauner,physician,University of Vienna
Lucy Mabel Hall-Brown,physician,University of Michigan Medical School
Jean Charlotte Spencer,physicist,Epsom Girls' Grammar School
Merbai Ardesir Vakil,physician,Grant Medical College and Sir Jamshedjee Jeejeebhoy Group of Hospitals
Joan Reede,physician,Brown University
Serenella Fucksia,physician,University of Bologna
Susan Greenfield,biologist,Godolphin and Latymer School
Nkechi Agwu,mathematician,University of Nigeria
Katie Bouman,computer scientist,University of Michigan
Raquel Alonso Redondo,botanist,University of León
Winifred Mary Curtis,botanist,University College London
Aneta Stodolna,physicist,Radboud University Nijmegen
Lam Lay Yong,mathematician,University of Cambridge
Alicia DeShasier,engineer,Southern Illinois University Edwardsville
Debbie C. Crans,chemist,University of Copenhagen
Aleksa Cimerman,biologist,University of Ljubljana
Trinitat Sais Plaja,physician,University of Barcelona
Marie Bashir,engineer,University of Sydney
Ljubov Vjatsjeslavovna Rimareva,biologist,Moscow State University of Food Production
Pamela Hardt-English,computer scientist,"University of California, Davis"
Zsuzsanna Izsvák,biologist,University of Debrecen
Lula Pace,botanist,University of Chicago
Caroline M. Solomon,biologist,Harvard University
Kirsi Lehto,biologist,University of Helsinki
Susanne Andexlinger,physician,University of Innsbruck
Vandana Shiva,physicist,Panjab University
Felecia M. Nave,engineer,Alcorn State University
Tamar Schlick,chemist,Courant Institute of Mathematical Sciences
Pauline Gracia Beery Mack,chemist,Columbia University
Alma Sundquist,physician,Uppsala University
Anima Anandkumar,computer scientist,Cornell University
Eilaf Egap,chemist,Massachusetts Institute of Technology
Alexandra Silva,computer scientist,University of Minho
Carole Ann Haswell,physicist,"University College, Oxford"
Tatjana Ždanoka,mathematician,University of Latvia
Bertha De Vriese,physician,Ghent University
Lam Lay Yong,mathematician,National University of Singapore
Susan Kare,computer scientist,"Steinhardt School of Culture, Education, and Human Development"
Needhi Bhalla,biologist,"University of California, San Francisco"
Emma Previato,mathematician,Harvard University
Anahit Bakhshyan,physicist,Yerevan State University
Eve Ostriker,physicist,Harvard University
Chiaki Mukai,physician,Keio University
Gail Hanson,physicist,Indiana University
Guergana Petrova,mathematician,Sofia University
Sarah Elgin,biologist,Pomona College
Pleasantine Mill,biologist,University of Toronto
Anny Katan-Rosenberg,physician,University of Vienna
Réka Albert,biologist,University of Notre Dame
Barbara Pearse,biologist,University College London
Frances Cave-Browne-Cave,mathematician,University of Cambridge
Saša Božović,physician,University of Belgrade School of Medicine
Finale Doshi-Velez,computer scientist,Trinity College
Elham Abu al-Jadayel,biologist,King's College London
Kathleen Adebola Okikiolu,mathematician,University of Cambridge
Lucy Mabel Hall-Brown,physician,Dearborn Seminary
Xia Peisu,engineer,Nanjing University
Mary Elizabeth Barkworth,botanist,University of Washington
Veena Parnaik,biologist,Ohio State University
Wang Jiangbin,physician,University of Erlangen-Nuremberg
Marina Ratner,mathematician,MSU Faculty of Mechanics and Mathematics
Mary L. Cleave,engineer,Utah State University
María Fernanda Ceriani,biologist,Scripps Research
Olga Arsenievna Oleinik,mathematician,MSU Faculty of Mechanics and Mathematics
Olga Ladyzhenskaya,mathematician,MSU Faculty of Mechanics and Mathematics
Laurie Hendren,computer scientist,Queen's University
Andrea Ficzere,physician,Medical University of Debrecen
Natalla Klimowicz,physician,Belarusian State Medical University
Agnes Arber,biologist,University College London
Giselle Corbie-Smith,physician,Cornell University
Virginia Livingston,physician,New York University School of Medicine
Young Kee Kim,physicist,University of Rochester
Sinknesh Ejigu,chemist,University of East Anglia
Kathryn C. Thornton,physicist,University of Virginia
Djamila Ferdjani,physician,Paris Descartes University - Sorbonne Paris Cité
Else Marie Friis,botanist,Aarhus University
Katherine Jones,biologist,"University of California, Riverside"
Rachel Nicol,physician,Monmouth College
Edris Rice-Wray Carson,physician,University of Michigan
Rosi Sexton,mathematician,University of Manchester
Joan Reede,physician,Boston University
Christine Darden,mathematician,Simmons University
Mary Calderone,physician,University of Rochester
Andrée Yanacopoulo,physician,University of Lyon (1896-1969)
Needhi Bhalla,biologist,Columbia University
Helen Elizabeth Nash,physician,Meharry Medical College
Kathryn C. Thornton,physicist,Auburn University
Dr. Hadiyah-Nicole Green,physicist,University of Alabama at Birmingham
Donatella Danielli,mathematician,University of Bologna
Ellen Ullman,programmer,Cornell University
Alice Schwartz,chemist,"University of California, Berkeley"
Christine Hamill,mathematician,St Paul's Girls' School
Ellis Reynolds Shipp,physician,University of Michigan
Perdita E. Barran,chemist,University of Manchester
Anna Mullikin,mathematician,University of Pennsylvania
Dana Randall,engineer,Stuyvesant High School
Alicia Moreau de Justo,physician,Colegio Nacional de Buenos Aires
Ngamta Thamwattana,mathematician,University of Wollongong
Rebecca B. Hoyle,mathematician,University of Cambridge
Sarah A. Robertson,biologist,University of Adelaide
Anna Johnson Pell Wheeler,mathematician,University of Iowa
Ellen Silbergeld,biologist,Johns Hopkins University
Nora Kräutle,chemist,University of Stuttgart
Silvija Seres,computer scientist,Wolfson College
Elizabeth Riddle Graves,physicist,University of Chicago
Nina Byers,physicist,"University of California, Berkeley"
Malgorzata S. Zywno,engineer,Glasgow Caledonian University
Ranee Brylinski,mathematician,Massachusetts Institute of Technology
Olga L. Mayol-Bracero,chemist,"University of Puerto Rico, Río Piedras Campus"
Nasima Akhter,physician,Kanazawa Seiryo University
Christine Shoemaker,engineer,University of Southern California
Almadena Chtchelkanova,physicist,Moscow State University
Somdatta Sinha,biologist,Visva-Bharati University
Marie A. Vitulli,mathematician,University of Pennsylvania
Hildegard Korf Kallmann-Bijl,physicist,Humboldt University of Berlin
Xia Peisu,engineer,Southeast University
Madeleine Blanchet,physician,Université Laval
A. F. Gammerman,biologist,University of Tartu
Marisol Izquierdo,biologist,University of Tokyo
Shizuka Yamakawa,botanist,University of Tokyo
Dorothea Klumpke,astronomer,Science Faculty of Paris
Marie-Luise Jahn,physician,University of Tübingen
Nadia Bakhurji,engineer,King Faisal University
Ruth Lewin Sime,chemist,Harvard University
Kristin Vinje,chemist,University of Oslo
Nermin Arık,mathematician,University of Glasgow
Susie Wee,engineer,Massachusetts Institute of Technology
Nataliya Zubar,programmer,Kharkiv Polytechnic Institute
Tamara Vitalevna Androesjkevitsj,chemist,Moscow State University of Fine Chemical Technologies
Kari Hag,mathematician,Norwegian College of General Sciences
Miren Larrion,engineer,University of the Basque Country
Catherine Coleman,chemist,University of Massachusetts Amherst
Evelyn Berezin,engineer,Hunter College
Henriette Avram,engineer,Hunter College
Anne Lucy Bosworth Focke,mathematician,University of Chicago
Odile Favaron,mathematician,University of Paris-Sud
Mina Teicher,mathematician,Tel Aviv University
Ma Jin,physicist,China University of Geosciences
Yael Tauman Kalai,computer scientist,Weizmann Institute of Science
Helen M. Chan,engineer,Imperial College London
Jean Bartik,computer scientist,University of Pennsylvania
Alexandra Illmer Forsythe,computer scientist,Brown University
Marilyn Gaston,physician,University of Cincinnati College of Medicine
Johanna Buchert,chemist,Helsinki University of Technology
Mireille Martin-Deschamps,mathematician,École normale supérieure de jeunes filles
Julielynn Wong,physician,Harvard T.H. Chan School of Public Health
Alice Christine Stickland,mathematician,King's College London
Claudia Sagastizábal,mathematician,University of Paris 1 Pantheon-Sorbonne
Joanna Hoffman,engineer,Massachusetts Institute of Technology
Mary Esther Harding,physician,London School of Medicine for Women
Frannie Léautier,engineer,University of Dar es Salaam
Luciana Fernandes Gomes da Silva,botanist,Federal University of Rio de Janeiro
Päivi Peltomäki,physician,University of Helsinki
Linda Hsieh-Wilson,chemist,Yale University
Cynthia A. Phillips,computer scientist,Massachusetts Institute of Technology
Alina Surmacka Szczesniak,chemist,Bryn Mawr College
Dorothy G. Downie,botanist,University of Chicago
Sonja Siljak-Yakovlev,botanist,University of Sarajevo
Helena Nader,biologist,Federal University of São Paulo
Regina Helena Potsch Andreata,botanist,Federal University of Rio de Janeiro
Renata Gabrielle Pinheiro Santos,botanist,Federal University of Rio de Janeiro
Iria Carreira Pazos,physician,University of Santiago de Compostela
Emily Balskus,chemist,Harvard University
Anne-Marie Imafidon,engineer,University of Oxford
Anna Shabanova,physician,S. M. Kirov Military Medical Academy
Brenda Baker,computer scientist,Radcliffe College
Rut Bízková,engineer,University of Chemistry and Technology
Wangari Muta Maathai,biologist,Benedictine College
Maria Löhnis,botanist,Utrecht University
Priscilla Kincaid-Smith,physician,University of the Witwatersrand
Dora Altbir,physicist,Pontifical Catholic University of Chile
Rebecca Grinter,computer scientist,"University of California, Irvine"
Conny Aerts,astronomer,University of Antwerp
Gladys Nortey Ashitey,physician,University of Ghana
Conny Aerts,mathematician,University of Antwerp
Betty Holberton,programmer,University of Pennsylvania
